RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30
394619,56,"Fresno, CA",Msa,CA,335718.0,335821.0,332721.0,329621.0,335821.0,340884.0,340988.0,346051.0,340988.0,335821.0,335718.0,335578.0,329621.0,325488.0,322388.0,325488.0,331567.0,346154.0,359277.0,364753.0,370953.0,361550.0,360620.0,355970.0,347136.0,351320.0,354937.0,356487.0,366820.0,361652.0,374043.0,387486.0,392652.0,392652.0,392549.0,389852.0,393675.0,387486.0,389000.0,389000.0,395000.0,416500.0
395238,57,"Worcester, MA",Msa,MA,277022.0,276926.0,281798.0,286479.0,296031.0,310360.0,318886.0,315136.0,316187.0,314277.0,310360.0,305584.0,304724.0,298420.0,300808.0,310456.0,328510.0,339113.0,343794.0,348666.0,342767.0,334241.0,333382.0,333382.0,329561.0,329561.0,332426.0,334337.0,358123.0,362899.0,370636.0,382099.0,382099.0,382004.0,381144.0,385000.0,389900.0,399900.0,"","","",""
394415,58,"Stamford, CT",Msa,CT,670986.0,666719.0,713656.0,777661.0,795689.0,788329.0,795263.0,784062.0,746726.0,745659.0,745659.0,745659.0,736053.0,735951.0,736058.0,746619.0,773394.0,777661.0,768061.0,745659.0,725284.0,698722.0,698722.0,709389.0,713656.0,708323.0,718990.0,741392.0,745659.0,741392.0,773394.0,798996.0,799956.0,789289.0,768061.0,766460.0,745659.0,746726.0,749000.0,839900.0,830000.0,799000.0
394312,59,"Albuquerque, NM",Msa,NM,233844.0,231935.0,233940.0,238619.0,245398.0,253037.0,256856.0,254947.0,248167.0,243488.0,238714.0,243488.0,243488.0,243011.0,243488.0,252941.0,257811.0,262585.0,264018.0,266505.0,266701.0,266515.0,266405.0,267264.0,266042.0,262585.0,272038.0,285492.0,286361.0,286457.0,305554.0,324651.0,329425.0,329464.0,326546.0,330000.0,328990.0,329900.0,340000.0,341490.0,360000.0,360000.0
394308,60,"Albany, NY",Msa,NY,235418.0,238814.0,245935.0,246483.0,250865.0,250865.0,251851.0,257438.0,262696.0,261820.0,257438.0,261820.0,262805.0,260012.0,257438.0,262805.0,268283.0,272774.0,273760.0,273760.0,279238.0,272774.0,262805.0,268283.0,268367.0,262805.0,262805.0,269378.0,273870.0,284715.0,294684.0,309911.0,317579.0,312212.0,"",297781.0,292462.0,288446.0,"","","",""
394938,61,"Omaha, NE",Msa,NE,275087.0,280182.0,285174.0,298852.0,305551.0,315841.0,314822.0,305653.0,305602.0,304634.0,297963.0,286448.0,285174.0,290370.0,295362.0,310645.0,331124.0,334180.0,331022.0,321875.0,321261.0,315739.0,303208.0,292815.0,290778.0,295334.0,300559.0,317879.0,322280.0,320935.0,330818.0,336167.0,334078.0,331124.0,322871.0,324598.0,320948.0,322022.0,323400.0,340000.0,345000.0,345000.0
394908,62,"New Haven, CT",Msa,CT,282445.0,282445.0,287782.0,301386.0,312898.0,323363.0,328595.0,329642.0,324304.0,313944.0,313840.0,312898.0,303480.0,298247.0,302433.0,308607.0,319072.0,329642.0,323363.0,319177.0,313840.0,308712.0,303375.0,303375.0,302433.0,298247.0,298142.0,302433.0,313840.0,313840.0,336967.0,343769.0,355699.0,350467.0,340106.0,334769.0,329642.0,313943.0,314900.0,320000.0,329999.0,359000.0
394357,63,"Bakersfield, CA",Msa,CA,250104.0,249237.0,249237.0,258861.0,266078.0,267307.0,269350.0,269350.0,264634.0,259727.0,254963.0,250200.0,249237.0,247265.0,245292.0,245388.0,254049.0,264634.0,264634.0,264634.0,268484.0,261747.0,258851.0,254915.0,254915.0,254915.0,258861.0,259823.0,268484.0,264634.0,264634.0,269253.0,274257.0,287730.0,293504.0,298267.0,293504.0,279069.0,279990.0,285000.0,295000.0,300000.0
394753,64,"Knoxville, TN",Msa,TN,268900.0,264900.0,260000.0,266000.0,277000.0,289900.0,294900.0,290000.0,284900.0,275000.0,270000.0,269000.0,264900.0,268500.0,260000.0,264900.0,279000.0,289900.0,299221.0,299900.0,303355.0,299900.0,298999.0,289900.0,279900.0,279900.0,279000.0,289900.0,300000.0,300000.0,315000.0,335000.0,348400.0,348000.0,330000.0,320000.0,304900.0,299900.0,308585.0,311750.0,330900.0,375000.0
394653,65,"Greenville, SC",Msa,SC,258654.0,258568.0,258568.0,263756.0,268773.0,276866.0,277728.0,279644.0,277728.0,273896.0,263454.0,262400.0,263358.0,258568.0,258568.0,265370.0,273034.0,282614.0,286446.0,277728.0,271501.0,268148.0,267286.0,268148.0,267681.0,263453.0,263454.0,276402.0,276106.0,272938.0,284434.0,292099.0,287404.0,291112.0,287540.0,288537.0,284645.0,276000.0,273900.0,279950.0,296490.0,325000.0
394952,66,"Ventura, CA",Msa,CA,779000.0,789000.0,774950.0,779000.0,779000.0,799000.0,760000.0,759000.0,750000.0,734900.0,699950.0,699900.0,689950.0,680000.0,694999.0,699000.0,706900.0,729000.0,739000.0,749900.0,760000.0,775000.0,789000.0,789950.0,774990.0,779900.0,795000.0,815000.0,830000.0,784900.0,799000.0,840000.0,859000.0,869900.0,874900.0,869500.0,849000.0,874000.0,"","","",""
394318,67,"Allentown, PA",Msa,PA,224900.0,224000.0,215000.0,224000.0,234000.0,239000.0,239900.0,244500.0,244900.0,235500.0,230000.0,229900.0,225500.0,224900.0,224599.0,229900.0,239900.0,245000.0,249876.0,252900.0,255000.0,249900.0,247650.0,245000.0,243900.0,239900.0,240000.0,250000.0,269000.0,264900.0,269900.0,275900.0,289000.0,289000.0,289000.0,289000.0,283790.0,285000.0,289900.0,314900.0,309000.0,299999.0
394561,68,"El Paso, TX",Msa,TX,182739.0,182750.0,181939.0,183291.0,183615.0,183777.0,184859.0,188698.0,190266.0,192428.0,191347.0,191347.0,192482.0,194645.0,199511.0,202106.0,203188.0,205405.0,207621.0,207567.0,205405.0,205351.0,205459.0,205459.0,209784.0,205448.0,205459.0,205405.0,205458.0,204377.0,208162.0,211839.0,215191.0,216164.0,216218.0,217239.0,"",229532.0,230950.0,231950.0,235950.0,240950.0
394367,69,"Baton Rouge, LA",Msa,LA,232150.0,230000.0,229900.0,234900.0,239000.0,244900.0,249900.0,249999.0,245000.0,244000.0,243900.0,239900.0,240000.0,239900.0,239999.0,243900.0,246695.0,253000.0,259000.0,255000.0,250000.0,247500.0,244500.0,243000.0,241900.0,240000.0,239900.0,244895.0,249900.0,249000.0,250065.0,259900.0,263000.0,268000.0,271900.0,272900.0,269570.0,269900.0,269000.0,274900.0,284900.0,295300.0
394521,70,"Dayton, OH",Msa,OH,134900.0,124900.0,125000.0,128900.0,135900.0,139900.0,144000.0,149900.0,154900.0,149900.0,144900.0,144900.0,143000.0,139900.0,144865.0,144900.0,154900.0,159900.0,168000.0,174900.0,184900.0,179900.0,169900.0,167000.0,167000.0,161900.0,163000.0,174900.0,194900.0,197900.0,205000.0,209900.0,199900.0,198600.0,199900.0,209900.0,202000.0,199900.0,200990.0,205990.0,196990.0,198990.0
