County,RegionType,StateName,Date,zhvi_single_family_homes_by_county,zhvi_condo_coop_homes_by_county,zhvi_5plus_homes_by_county,zhvi_4_homes_by_county,zhvi_3_homes_by_county,zhvi_2_homes_by_county,zhvi_1_homes_by_county,Year
FORT BEND COUNTY,County,TX,1999-03-31,155459.0,102294.0,272449.0,183053.0,106762.0,93120.0,109809.0,1999
MONTGOMERY COUNTY,County,TX,1999-03-31,153753.0,99681.0,325869.0,197181.0,126128.0,91906.0,68004.0,1999
GALVESTON COUNTY,County,TX,1999-03-31,119497.0,109137.0,241306.0,167600.0,109300.0,90089.0,77009.0,1999
TRINITY COUNTY,County,TX,1999-03-31,,,,,,,,1999
GALVESTON COUNTY,County,TX,1999-04-30,120252.0,110557.0,242434.0,169210.0,109918.0,90195.0,77130.0,1999
MONTGOMERY COUNTY,County,TX,1999-04-30,154651.0,100349.0,327222.0,198330.0,126963.0,92437.0,67750.0,1999
TRINITY COUNTY,County,TX,1999-04-30,,,,,,,,1999
HARRIS COUNTY,County,TX,1999-04-30,110595.0,93175.0,229124.0,144348.0,95090.0,77468.0,92438.0,1999
FORT BEND COUNTY,County,TX,1999-04-30,156495.0,103212.0,274206.0,184400.0,107578.0,93442.0,109622.0,1999
HARRIS COUNTY,County,TX,1999-05-31,111341.0,93438.0,230745.0,145258.0,95743.0,78092.0,92716.0,1999
FORT BEND COUNTY,County,TX,1999-05-31,157625.0,103751.0,275969.0,185893.0,108440.0,93722.0,108860.0,1999
MONTGOMERY COUNTY,County,TX,1999-05-31,155334.0,100758.0,329118.0,199338.0,127600.0,92830.0,67414.0,1999
GALVESTON COUNTY,County,TX,1999-05-31,121138.0,111162.0,244233.0,170849.0,110641.0,90385.0,77431.0,1999
TRINITY COUNTY,County,TX,1999-05-31,,,,,,,,1999
HARRIS COUNTY,County,TX,1999-06-30,111986.0,93821.0,231930.0,146028.0,96344.0,78487.0,92943.0,1999
FORT BEND COUNTY,County,TX,1999-06-30,159004.0,104424.0,277702.0,187530.0,109436.0,94328.0,109714.0,1999
MONTGOMERY COUNTY,County,TX,1999-06-30,156162.0,101215.0,330897.0,200719.0,128264.0,93404.0,67034.0,1999
GALVESTON COUNTY,County,TX,1999-06-30,121946.0,111157.0,245900.0,172434.0,111314.0,90416.0,77976.0,1999
TRINITY COUNTY,County,TX,1999-06-30,,,,,,,,1999
TRINITY COUNTY,County,TX,1999-07-31,,,,,,,,1999
GALVESTON COUNTY,County,TX,1999-07-31,122868.0,110666.0,246982.0,173233.0,112142.0,90734.0,77973.0,1999
MONTGOMERY COUNTY,County,TX,1999-07-31,156805.0,102014.0,333470.0,201862.0,128782.0,94034.0,67157.0,1999
FORT BEND COUNTY,County,TX,1999-07-31,160494.0,105226.0,279536.0,188944.0,110459.0,94994.0,110682.0,1999
HARRIS COUNTY,County,TX,1999-07-31,112650.0,93746.0,233349.0,146896.0,96956.0,78720.0,92361.0,1999
HARRIS COUNTY,County,TX,1999-08-31,113318.0,93589.0,234717.0,147753.0,97587.0,78960.0,91913.0,1999
FORT BEND COUNTY,County,TX,1999-08-31,161806.0,105906.0,281029.0,189987.0,111314.0,95395.0,112027.0,1999
MONTGOMERY COUNTY,County,TX,1999-08-31,157455.0,102789.0,335094.0,202849.0,129222.0,94623.0,66931.0,1999
GALVESTON COUNTY,County,TX,1999-08-31,123548.0,109990.0,247073.0,173699.0,112891.0,90919.0,77527.0,1999
TRINITY COUNTY,County,TX,1999-08-31,,,,,,,,1999
