City,RegionType,StateName,Date,list_price_data,sale_data,inventory_d2p_data,inventory_4s_data,Year,Month,MonthNumeric,DayOfTheWeek,DayOfTheWeekNumeric
"New York, NY",Msa,NY,2020-01-31,575000.0,425000.0,109.0,71363.0,2020,Jan,1,Friday,5
"New York, NY",Msa,NY,2018-09-30,550000.0,422500.0,83.0,89122.0,2018,Sep,9,Sunday,0
"New York, NY",Msa,NY,2018-07-31,559000.0,435000.0,73.0,92491.0,2018,Jul,7,Tuesday,2
"New York, NY",Msa,NY,2021-03-31,675000.0,484000.0,,59888.0,2021,Mar,3,Wednesday,3
"New York, NY",Msa,NY,2019-07-31,575000.0,440000.0,82.0,96636.0,2019,Jul,7,Wednesday,3
"New York, NY",Msa,NY,2018-10-31,559000.0,410000.0,86.0,90199.0,2018,Oct,10,Wednesday,3
"New York, NY",Msa,NY,2018-06-30,569000.0,425000.0,69.0,92812.0,2018,Jun,6,Saturday,6
"New York, NY",Msa,NY,2018-11-30,550000.0,410000.0,89.0,83108.0,2018,Nov,11,Friday,5
"New York, NY",Msa,NY,2021-02-28,674900.0,475000.0,,58213.0,2021,Feb,2,Sunday,0
"New York, NY",Msa,NY,2018-05-31,569000.0,412000.0,69.0,91298.0,2018,May,5,Thursday,4
"New York, NY",Msa,NY,2018-12-31,549000.0,405000.0,98.0,73477.0,2018,Dec,12,Monday,1
"New York, NY",Msa,NY,2018-04-30,554900.0,400000.0,72.0,86171.0,2018,Apr,4,Monday,1
"New York, NY",Msa,NY,2018-08-31,549900.0,434000.0,79.0,89806.0,2018,Aug,8,Friday,5
"New York, NY",Msa,NY,2019-02-28,550000.0,410000.0,93.0,76447.0,2019,Feb,2,Thursday,4
"New York, NY",Msa,NY,2018-03-31,549000.0,399000.0,71.0,79244.0,2018,Mar,3,Saturday,6
"New York, NY",Msa,NY,2019-01-31,549000.0,410000.0,103.0,74456.0,2019,Jan,1,Thursday,4
"New York, NY",Msa,NY,2019-05-31,580000.0,415000.0,76.0,96878.0,2019,May,5,Friday,5
"New York, NY",Msa,NY,2019-04-30,575000.0,410000.0,81.0,91964.0,2019,Apr,4,Tuesday,2
"New York, NY",Msa,NY,2018-02-28,539000.0,400000.0,84.0,73283.0,2018,Feb,2,Wednesday,3
"New York, NY",Msa,NY,2019-06-30,580000.0,435000.0,80.0,98369.0,2019,Jun,6,Sunday,0
"New York, NY",Msa,NY,2021-01-31,669000.0,470000.0,,60127.0,2021,Jan,1,Sunday,0
"New York, NY",Msa,NY,2019-03-31,569000.0,400000.0,89.0,84520.0,2019,Mar,3,Sunday,0
"New York, NY",Msa,NY,2018-01-31,519900.0,400000.0,104.0,65438.0,2018,Jan,1,Wednesday,3
"San Francisco, CA",Msa,CA,2018-07-31,875000.0,831176.0,23.0,8094.0,2018,Jul,7,Tuesday,2
"San Francisco, CA",Msa,CA,2018-06-30,935000.0,869500.0,21.0,8205.0,2018,Jun,6,Saturday,6
"San Francisco, CA",Msa,CA,2020-04-30,899000.0,840000.0,25.0,5451.0,2020,Apr,4,Thursday,4
"San Francisco, CA",Msa,CA,2020-08-31,998000.0,905000.0,24.0,9486.0,2020,Aug,8,Monday,1
"San Francisco, CA",Msa,CA,2018-02-28,875000.0,765750.0,21.0,5143.0,2018,Feb,2,Wednesday,3
"San Francisco, CA",Msa,CA,2018-01-31,799000.0,702500.0,30.0,4025.0,2018,Jan,1,Wednesday,3
"San Francisco, CA",Msa,CA,2020-05-31,950000.0,825000.0,25.0,7695.0,2020,May,5,Sunday,0
"San Francisco, CA",Msa,CA,2020-10-31,999000.0,899000.0,25.0,10492.0,2020,Oct,10,Saturday,6
"San Francisco, CA",Msa,CA,2018-04-30,925000.0,849000.0,18.0,7261.0,2018,Apr,4,Monday,1
"San Francisco, CA",Msa,CA,2021-03-31,985000.0,970000.0,,8029.0,2021,Mar,3,Wednesday,3
"San Francisco, CA",Msa,CA,2020-06-30,997000.0,857500.0,27.0,8745.0,2020,Jun,6,Tuesday,2
"San Francisco, CA",Msa,CA,2018-03-31,899000.0,822676.0,19.0,6555.0,2018,Mar,3,Saturday,6
"San Francisco, CA",Msa,CA,2020-07-31,999000.0,895000.0,26.0,9312.0,2020,Jul,7,Friday,5
"San Francisco, CA",Msa,CA,2018-05-31,950000.0,857000.0,18.0,8198.0,2018,May,5,Thursday,4
